Round,Home,Home_Score,Away,Away_Score,Venue,Date,Match_Centre_URL,Home_Win,Year,Month,Day
Round 17,Dolphins,0,Rabbitohs,0,Suncorp Stadium,2025-06-28 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/rabbitohs-v-dolphins/,False,2025,6,28
Round 17,Storm,0,Sharks,0,AAMI Park,2025-06-29 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/storm-v-sharks/,False,2025,6,29
Round 17,Titans,0,Cowboys,0,Cbus Super Stadium,2025-06-29 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-17/titans-v-cowboys/,False,2025,6,29
Round 18,Bulldogs,0,Broncos,0,Accor Stadium,2025-07-04 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-18/bulldogs-v-broncos/,False,2025,7,4
Round 18,Raiders,0,Dragons,0,GIO Stadium,2025-07-05 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-18/raiders-v-dragons/,False,2025,7,5
Round 18,Cowboys,0,Storm,0,Queensland Country Bank Stadium,2025-07-05 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-18/cowboys-v-storm/,False,2025,7,5
Round 18,Roosters,0,Wests Tigers,0,Allianz Stadium,2025-07-06 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-18/roosters-v-wests-tigers/,False,2025,7,6
Round 18,Sea Eagles,0,Rabbitohs,0,4 Pines Park,2025-07-06 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-18/sea-eagles-v-rabbitohs/,False,2025,7,6
Round 19,Sharks,0,Dolphins,0,Sharks Stadium,2025-07-11 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-19/sharks-v-dolphins/,False,2025,7,11
Round 19,Knights,0,Storm,0,McDonald Jones Stadium,2025-07-12 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-19/knights-v-storm/,False,2025,7,12
Round 19,Dragons,0,Roosters,0,Jubilee Stadium,2025-07-12 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-19/dragons-v-roosters/,False,2025,7,12
Round 19,Cowboys,0,Bulldogs,0,Queensland Country Bank Stadium,2025-07-12 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-19/cowboys-v-bulldogs/,False,2025,7,12
